"Год","Регион","Всего регистраций","0-13","14-17","18-24","25-35","36-55","55+"
2020,Сахалинская область,4437,186,677,1637,708,478,231
2020,Свердловская область,23866,521,3741,5850,4164,4698,761
2020,Севастополь,4575,320,656,994,819,888,99
2020,Смоленская область,6708,184,1750,1432,899,1170,222
2020,Ставропольский край,20181,556,2915,8039,1380,1430,268
2020,Тамбовская область,10256,227,1897,2753,1166,1575,225
2020,Тверская область,8062,127,1741,2231,1121,1188,210
2020,Томская область,6290,148,1317,1851,742,717,127
2020,Тульская область,9416,182,2623,2106,1373,1326,126
2020,Тюменская область,14053,501,2713,2728,2135,2224,416
2020,Удмуртская Республика,7298,143,1633,1676,1186,1252,251
2020,Ульяновская область,8417,130,1176,1767,1229,1442,324
2020,Хабаровский край,5306,85,488,1381,1092,1089,276
2020,Ханты-Мансийский автономный округ - Югра,15446,382,2619,2685,3274,3835,596
2020,Херсонская область,10,0,1,3,2,4,0
2020,Челябинская область,9444,187,2232,2316,1434,1407,644
2020,Чеченская Республика,5093,5,267,2552,808,449,86
2020,Чувашская Республика - Чувашия,9262,325,2601,2529,973,1133,191
2020,Чукотский автономный округ,752,56,70,87,170,249,50
2020,Ямало-Ненецкий автономный округ,6063,196,791,862,1295,1777,158
2020,Ярославская область,8590,54,2488,2518,966,946,143
2019,"",33903,164,1721,1986,690,885,238
2019,Алтайский край,6567,219,1767,1121,199,254,74
2019,Амурская область,2753,87,521,301,123,89,20
2019,Архангельская область,2696,88,664,512,150,140,22
2019,Астраханская область,7055,66,524,1669,206,126,21
2019,Белгородская область,13258,203,1265,1007,437,252,305
2019,Брянская область,3761,75,824,304,94,113,45
2019,Владимирская область,3032,72,491,525,180,110,32
2019,Волгоградская область,15005,877,2946,2046,528,661,242
2019,Вологодская область,4285,89,427,273,230,220,80
2019,Воронежская область,7377,123,2674,1404,258,262,118
2019,Донецкая Народная Республика,8,0,2,0,5,1,0
2019,Еврейская автономная область,1136,102,173,86,56,84,41
2019,Забайкальский край,2064,17,156,413,165,145,34
2019,Запорожская область,1,0,0,1,0,0,0
2019,Ивановская область,2974,47,607,536,95,88,46
2019,Иркутская область,4674,74,870,544,224,222,33
2019,Кабардино-Балкарская Республика,1433,40,217,192,34,35,15
2019,Калининградская область,4975,172,1693,637,209,147,106
2019,Калужская область,8144,464,813,397,263,248,45
2019,Камчатский край,1885,107,481,245,114,100,20
2019,Карачаево-Черкесская Республика,2359,68,326,149,31,14,15
2019,Кемеровская область - Кузбасс,8195,268,1616,1067,662,787,187
2019,Кировская область,5835,456,1793,832,188,189,80
2019,Костромская область,4207,86,718,312,141,215,62
2019,Краснодарский край,27577,600,2971,3313,831,654,264
2019,Красноярский край,4171,99,801,637,333,237,44
2019,Курганская область,5091,147,962,679,116,133,45
2019,Курская область,5228,88,1241,728,144,121,39
2019,Ленинградская область,3220,75,755,614,185,115,29
2019,Липецкая область,7537,484,1993,474,209,220,34
2019,Луганская Народная Республика,4,0,2,2,0,0,0
2019,Магаданская область,595,12,141,55,56,30,8
2019,Москва,12372,155,1805,2399,1148,661,127
2019,Московская область,13528,176,1648,1683,726,766,158
2019,Мурманская область,2075,66,526,211,133,145,26
2019,Ненецкий автономный округ,303,8,94,22,18,16,4
2019,Нижегородская область,10954,520,2287,1123,425,359,69
2019,Новгородская область,2225,30,391,262,121,167,44
2019,Новосибирская область,3835,57,670,725,241,160,75
2019,Омская область,6516,132,877,767,270,261,60
2019,Оренбургская область,17781,518,2725,997,404,459,105
2019,Орловская область,3099,103,652,553,190,216,53
2019,Пензенская область,102264,3672,4452,1690,3077,5223,1547
2019,Пермский край,1761,21,260,411,136,122,16
2019,Приморский край,3875,101,879,716,143,133,46
2019,Псковская область,3387,148,815,831,112,113,30
2019,Республика Адыгея,15736,1891,1921,606,651,931,266
2019,Республика Алтай,1027,28,244,114,45,28,4
2019,Республика Башкортостан,12632,265,2384,1356,402,313,97
2019,Республика Бурятия,2794,52,383,294,116,73,37
2019,Республика Дагестан,7982,133,1077,1248,184,82,32
2019,Республика Ингушетия,452,3,30,121,23,3,2
2019,Республика Калмыкия,1534,20,205,240,92,58,14
2019,Республика Карелия,1818,42,327,361,77,104,20
2019,Республика Коми,5497,502,1669,500,202,213,80
2019,Республика Крым,3113,71,550,681,196,142,50
2019,Республика Марий Эл,3702,70,755,443,116,140,23
2019,Республика Мордовия,8042,320,1352,688,141,181,52
2019,Республика Саха (Якутия),2926,40,399,596,263,104,29
2019,Республика Северная Осетия - Алания,1713,10,247,368,51,16,17
2019,Республика Татарстан (Татарстан),11455,323,1972,2220,363,378,92
2019,Республика Тыва,1466,27,140,104,86,39,2
2019,Республика Хакасия,838,13,132,134,47,52,18
2019,Ростовская область,51184,6342,9504,2790,1586,2780,876
2019,Рязанская область,10580,752,2061,1062,256,346,171
2019,Самарская область,16596,458,2203,1745,1047,606,641
2019,Санкт-Петербург,9130,177,1828,2872,619,356,99
2019,Саратовская область,5172,94,1096,754,168,238,143
2019,Сахалинская область,1965,83,501,201,124,111,38
2019,Свердловская область,9330,297,2133,1219,459,415,138
2019,Севастополь,2091,46,406,702,93,54,12
2019,Смоленская область,4781,191,1217,527,119,116,45
2019,Ставропольский край,33446,1360,4660,2083,902,1432,425
2019,Тамбовская область,7728,102,1553,1088,160,140,35
2019,Тверская область,4648,80,770,1265,193,190,44
2019,Томская область,4133,56,903,720,115,64,18
2019,Тульская область,9032,230,2760,966,283,254,69
2019,Тюменская область,18104,757,2309,1312,592,706,275
2019,Удмуртская Республика,7435,127,1684,975,318,232,114
2019,Ульяновская область,4909,67,768,441,162,193,325
2019,Хабаровский край,2358,61,413,550,209,144,46
2019,Ханты-Мансийский автономный округ - Югра,6980,228,1522,680,433,476,203
2019,Херсонская область,4,0,1,3,0,0,0
2019,Челябинская область,9840,229,2561,2312,427,264,255
2019,Чеченская Республика,1490,7,37,333,88,30,7
2019,Чувашская Республика - Чувашия,13014,399,2291,2004,208,144,35
2019,Чукотский автономный округ,438,8,26,27,23,24,14
2019,Ямало-Ненецкий автономный округ,7118,380,1154,576,764,749,99
2019,Ярославская область,6156,68,1099,851,162,132,44
2018,"",299414,5135,36028,44783,24680,16498,5004
2018,Алтайский край,1994,102,950,580,180,139,38
2018,Амурская область,1172,111,507,291,122,110,28
2018,Архангельская область,998,40,314,383,158,85,18
2018,Астраханская область,2597,389,475,1306,253,154,19
2018,Белгородская область,5358,198,2373,1564,746,419,48
2018,Брянская область,1612,55,881,478,87,90,18
2018,Владимирская область,2593,124,1077,705,200,189,291
2018,Волгоградская область,5133,244,2383,1557,396,468,82
2018,Вологодская область,2062,130,518,378,403,447,182
2018,Воронежская область,2925,82,1450,887,195,270,39
2018,Донецкая Народная Республика,4,0,0,2,1,1,0
2018,Еврейская автономная область,331,53,135,72,32,32,7
2018,Забайкальский край,308,8,60,104,62,57,17
2018,Запорожская область,4,0,0,4,0,0,0
2018,Ивановская область,2191,95,1012,760,146,140,28
2018,Иркутская область,1687,61,718,493,233,146,34
2018,Кабардино-Балкарская Республика,807,34,515,116,72,53,13
2018,Калининградская область,2071,100,970,502,244,202,47
2018,Калужская область,2060,152,1084,613,108,80,19
2018,Камчатский край,674,39,285,150,108,72,16
2018,Карачаево-Черкесская Республика,1194,62,646,401,49,20,12
2018,Кемеровская область - Кузбасс,2103,84,961,585,242,205,24
2018,Кировская область,3629,277,1993,859,211,184,99
2018,Костромская область,930,39,222,345,148,146,28
2018,Краснодарский край,3183,62,1285,1285,308,144,91
2018,Красноярский край,3562,141,1653,1036,455,233,42
2018,Курганская область,1851,64,769,572,187,151,107
2018,Курская область,4028,125,1611,1884,224,155,27
2018,Ленинградская область,1376,41,428,435,265,146,57
2018,Липецкая область,3488,201,1741,956,273,219,78
2018,Луганская Народная Республика,4,0,1,3,0,0,0
2018,Магаданская область,159,4,65,35,33,21,1
2018,Москва,5526,157,1219,2408,1077,521,135
2018,Московская область,3680,79,1144,1356,541,463,90
2018,Мурманская область,1281,51,557,295,185,150,40
2018,Ненецкий автономный округ,185,9,70,52,26,14,14
2018,Нижегородская область,3546,142,1756,1075,298,225,38
2018,Новгородская область,944,29,278,378,111,126,19
2018,Новосибирская область,1166,40,302,476,203,124,21
2018,Омская область,838,22,156,326,169,146,18
2018,Оренбургская область,3671,461,1840,751,286,265,59
2018,Орловская область,1066,30,331,442,120,101,35
2018,Пензенская область,1084,51,469,413,72,67,9
2018,Пермский край,772,26,201,261,152,111,20
2018,Приморский край,1688,69,746,597,132,117,27
2018,Псковская область,454,8,182,152,65,45,1
2018,Республика Адыгея,1168,109,554,264,86,126,28
2018,Республика Алтай,508,33,202,140,87,37,9
2018,Республика Башкортостан,5305,180,2461,1728,446,386,97
2018,Республика Бурятия,451,17,92,167,91,65,18
2018,Республика Дагестан,1606,102,804,485,134,68,12
2018,Республика Ингушетия,1268,8,27,1045,171,13,4
2018,Республика Калмыкия,2578,65,453,1436,457,138,29
2018,Республика Карелия,557,15,181,126,108,110,17
2018,Республика Коми,2049,180,1098,385,185,164,29
2018,Республика Крым,1211,58,437,406,111,93,105
2018,Республика Марий Эл,969,45,342,365,100,92,24
2018,Республика Мордовия,2720,202,1234,956,183,115,29
2018,Республика Саха (Якутия),842,31,246,321,168,55,21
2018,Республика Северная Осетия - Алания,766,19,193,445,59,35,13
2018,Республика Татарстан (Татарстан),2492,131,1063,746,255,257,38
2018,Республика Тыва,2346,150,445,652,630,349,118
2018,Республика Хакасия,442,20,130,173,68,47,3
2018,Ростовская область,8394,254,4773,2099,582,424,236
2018,Рязанская область,2903,219,1479,729,174,211,86
2018,Самарская область,2415,95,994,767,209,167,179
2018,Санкт-Петербург,3400,93,985,1408,549,290,68
2018,Саратовская область,1836,59,958,525,134,131,24
2018,Сахалинская область,1121,60,469,239,167,162,24
2018,Свердловская область,4621,325,2173,1222,454,364,81
2018,Севастополь,565,30,223,197,68,40,6
2018,Смоленская область,2942,215,1710,709,114,164,29
2018,Ставропольский край,1393,44,788,323,120,93,22
2018,Тамбовская область,1624,46,686,660,95,117,16
2018,Тверская область,5420,110,2617,2242,272,136,38
2018,Томская область,719,9,196,425,56,28,5
2018,Тульская область,3931,115,2161,1296,174,149,32
2018,Тюменская область,3457,182,1258,960,470,488,90
2018,Удмуртская Республика,1567,54,785,422,132,133,39
2018,Ульяновская область,1251,49,499,411,145,123,24
2018,Хабаровский край,1009,25,298,443,157,77,7
2018,Ханты-Мансийский автономный округ - Югра,2811,95,1018,529,477,501,183
2018,Херсонская область,7,0,1,3,3,0,0
2018,Челябинская область,4375,154,1839,1879,273,166,57
2018,Чеченская Республика,1078,14,62,322,449,203,27
2018,Чувашская Республика - Чувашия,4055,188,2559,984,156,128,29
2018,Чукотский автономный округ,62,7,15,11,19,10,0
2018,Ямало-Ненецкий автономный округ,4431,156,928,579,1292,1351,111
2018,Ярославская область,752,20,184,337,133,66,12
2017,"",24307,96,2890,7495,1109,1040,264
2017,Алтайский край,188,1,52,65,21,22,4
2017,Амурская область,249,3,107,77,27,22,4
2017,Архангельская область,167,2,49,70,21,7,1
2017,Астраханская область,87,0,19,51,8,3,0
2017,Белгородская область,200,2,42,96,34,6,0
2017,Брянская область,568,5,251,175,20,72,2
2017,Владимирская область,126,2,12,59,33,7,0
2017,Волгоградская область,152,1,18,71,25,11,4
2017,Вологодская область,204,2,29,89,41,30,0
2017,Воронежская область,119,3,24,56,17,11,2
2017,Еврейская автономная область,25,1,11,6,5,1,0
2017,Забайкальский край,77,0,6,48,8,7,0
2017,Запорожская область,1,0,0,1,0,0,0
2017,Ивановская область,317,2,109,123,22,31,5
2017,Иркутская область,229,2,46,92,35,26,8
2017,Кабардино-Балкарская Республика,45,0,17,15,6,2,1
2017,Калининградская область,158,3,46,71,20,6,1
2017,Калужская область,113,1,18,69,16,3,1
2017,Камчатский край,105,4,39,29,12,16,1
2017,Карачаево-Черкесская Республика,17,0,5,6,5,1,0
2017,Кемеровская область - Кузбасс,238,6,63,69,52,29,3
2017,Кировская область,333,7,114,122,43,27,3
2017,Костромская область,96,1,17,39,15,16,2
2017,Краснодарский край,442,8,99,211,49,33,11
2017,Красноярский край,165,2,32,55,37,25,4
2017,Курганская область,87,0,23,41,9,6,3
2017,Курская область,639,2,265,252,27,42,4
2017,Ленинградская область,422,7,143,136,61,25,9
2017,Липецкая область,195,6,57,75,27,20,3
2017,Луганская Народная Республика,1,0,1,0,0,0,0
2017,Магаданская область,34,0,12,11,3,5,0
2017,Москва,816,8,115,451,126,57,21
2017,Московская область,584,8,113,297,75,52,6
2017,Мурманская область,337,1,128,123,26,35,1
2017,Ненецкий автономный округ,48,0,21,16,7,0,0
2017,Нижегородская область,465,6,109,209,59,36,9
2017,Новгородская область,112,0,21,56,18,10,0
2017,Новосибирская область,113,1,20,48,22,14,2
2017,Омская область,143,4,21,51,26,12,5
2017,Оренбургская область,706,2,372,244,33,25,3
2017,Орловская область,127,1,26,79,10,5,1
2017,Пензенская область,120,1,12,87,8,8,1
2017,Пермский край,123,0,19,60,22,15,2
2017,Приморский край,100,1,31,46,8,11,2
2017,Псковская область,82,1,33,15,11,17,1
2017,Республика Адыгея,134,3,52,47,11,10,4
2017,Республика Алтай,84,2,12,40,16,9,2
2017,Республика Башкортостан,562,3,145,271,68,38,6
2017,Республика Бурятия,79,0,21,36,12,5,0
2017,Республика Дагестан,405,0,182,119,33,15,0
2017,Республика Ингушетия,12,0,0,7,5,0,0
2017,Республика Калмыкия,11,0,3,4,2,1,0
2017,Республика Карелия,95,1,34,35,11,8,1
2017,Республика Коми,100,0,16,36,31,12,1
2017,Республика Крым,354,8,126,115,45,30,3
2017,Республика Марий Эл,49,0,10,25,4,9,0
2017,Республика Мордовия,79,0,17,45,7,6,2
2017,Республика Саха (Якутия),67,2,10,24,17,9,0
2017,Республика Северная Осетия - Алания,123,0,21,81,7,9,1
2017,Республика Татарстан (Татарстан),244,4,45,149,22,13,3
2017,Республика Тыва,42,1,7,21,8,1,0
2017,Республика Хакасия,31,0,2,5,13,9,1
2017,Ростовская область,924,17,376,273,86,55,6
2017,Рязанская область,165,1,27,94,15,17,4
2017,Самарская область,290,4,63,106,49,34,14
2017,Санкт-Петербург,537,4,123,281,60,37,10
2017,Саратовская область,397,3,182,127,22,27,4
2017,Сахалинская область,259,1,130,61,26,19,2
2017,Свердловская область,419,5,68,197,53,35,6
2017,Севастополь,61,1,13,33,6,5,0
2017,Смоленская область,1541,12,660,610,49,108,6
2017,Ставропольский край,189,0,37,107,22,10,2
2017,Тамбовская область,329,0,29,254,24,12,4
2017,Тверская область,72,0,7,42,13,8,1
2017,Томская область,81,1,12,47,11,4,1
2017,Тульская область,368,7,120,144,34,28,3
2017,Тюменская область,191,3,38,60,33,22,24
2017,Удмуртская Республика,117,0,13,69,14,9,2
2017,Ульяновская область,307,1,87,144,24,18,2
2017,Хабаровский край,157,0,40,65,29,12,0
2017,Ханты-Мансийский автономный округ - Югра,263,4,50,49,68,54,17
2017,Херсонская область,2,0,0,2,0,0,0
2017,Челябинская область,227,3,47,125,29,11,0
2017,Чеченская Республика,42,1,1,28,6,3,0
2017,Чувашская Республика - Чувашия,258,3,112,78,27,16,2
2017,Чукотский автономный округ,1,0,0,0,1,0,0
2017,Ямало-Ненецкий автономный округ,259,3,104,60,47,31,1
2017,Ярославская область,179,1,14,127,23,8,1
2016,"",161,0,38,27,3,4,1
2016,Алтайский край,15,0,4,5,4,2,0
2016,Амурская область,38,0,23,12,3,0,0
2016,Архангельская область,13,0,3,4,3,2,1
2016,Астраханская область,4,0,0,4,0,0,0
2016,Белгородская область,16,1,6,6,3,0,0
2016,Брянская область,1,0,0,0,0,1,0
2016,Владимирская область,1,0,0,1,0,0,0
2016,Волгоградская область,12,0,6,6,0,0,0
2016,Вологодская область,1,0,0,0,1,0,0
2016,Воронежская область,12,0,0,9,3,0,0
2016,Ивановская область,11,0,6,4,1,0,0
2016,Иркутская область,12,0,6,4,1,1,0
2016,Кабардино-Балкарская Республика,1,0,0,1,0,0,0
2016,Калининградская область,5,0,0,2,3,0,0
2016,Кемеровская область - Кузбасс,4,0,2,1,1,0,0
2016,Кировская область,3,0,0,2,1,0,0
2016,Костромская область,1,0,0,0,1,0,0
2016,Краснодарский край,12,0,2,5,2,1,1
2016,Красноярский край,4,0,0,3,1,0,0
2016,Курганская область,9,0,4,2,2,0,1
2016,Курская область,12,0,3,9,0,0,0
2016,Ленинградская область,3,0,1,1,1,0,0
2016,Липецкая область,2,0,0,2,0,0,0
2016,Магаданская область,1,0,1,0,0,0,0
2016,Москва,58,0,9,38,9,0,1
2016,Московская область,15,0,2,6,5,1,0
2016,Мурманская область,3,0,0,2,0,0,0
2016,Ненецкий автономный округ,3,0,1,0,2,0,0
2016,Нижегородская область,5,0,0,3,1,1,0
2016,Новгородская область,7,0,1,3,3,0,0
2016,Новосибирская область,4,0,1,2,0,0,1
2016,Омская область,9,0,1,5,2,0,1
2016,Оренбургская область,3,0,2,0,1,0,0
2016,Орловская область,3,0,1,1,1,0,0
2016,Пензенская область,3,0,0,3,0,0,0
2016,Пермский край,16,0,3,7,4,1,1
2016,Приморский край,6,0,1,4,1,0,0
2016,Псковская область,2,0,0,2,0,0,0
2016,Республика Адыгея,3,0,1,1,1,0,0
2016,Республика Алтай,17,0,13,0,2,2,0
2016,Республика Башкортостан,3,0,1,2,0,0,0
2016,Республика Бурятия,30,0,9,17,2,0,0
2016,Республика Дагестан,1,0,0,0,1,0,0
2016,Республика Карелия,5,0,0,4,1,0,0
2016,Республика Коми,7,0,0,6,0,1,0
2016,Республика Крым,4,0,1,2,1,0,0
2016,Республика Мордовия,1,0,0,1,0,0,0
2016,Республика Северная Осетия - Алания,3,0,0,3,0,0,0
2016,Республика Татарстан (Татарстан),8,0,0,1,6,0,0
2016,Республика Тыва,1,0,0,1,0,0,0
2016,Ростовская область,9,0,4,3,2,0,0
2016,Рязанская область,2,0,0,1,0,0,0
2016,Самарская область,18,0,2,8,5,3,0
2016,Санкт-Петербург,34,0,5,23,4,2,0
2016,Саратовская область,57,0,36,13,5,0,0
2016,Свердловская область,11,0,3,5,1,1,0
2016,Севастополь,14,0,6,3,2,2,0
2016,Смоленская область,3,0,0,2,0,1,0
2016,Ставропольский край,5,0,0,4,0,1,0
2016,Тамбовская область,2,0,0,2,0,0,0
2016,Тверская область,3,0,1,0,1,1,0
2016,Томская область,4,0,0,3,1,0,0
2016,Тульская область,5,0,1,3,0,1,0
2016,Тюменская область,3,0,1,0,0,1,1
2016,Удмуртская Республика,5,0,1,2,2,0,0
2016,Ульяновская область,3,0,0,2,0,1,0
2016,Хабаровский край,7,0,2,3,2,0,0
2016,Ханты-Мансийский автономный округ - Югра,1,0,0,0,1,0,0
2016,Челябинская область,12,0,3,8,1,0,0
2016,Чувашская Республика - Чувашия,5,0,3,1,0,1,0
2016,Ямало-Ненецкий автономный округ,1,0,0,0,0,1,0
